# time  field_L1  field_L2  field_Linf  numeric_E_left  exact_E_left  error_E_left  numeric_E_right  exact_E_right  error_E_right  numeric_E_body  exact_E_body  error_E_body
1.16344420e-02  1.86152647e-04  2.41080479e-04  3.72590834e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28578511e+00  2.28886504e+00  3.07992664e-03  2.50239755e+00  2.50547715e+00  3.07960289e-03
1.17746160e-02  1.86161473e-04  2.41092065e-04  3.72609374e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28588363e+00  2.28896358e+00  3.07994518e-03  2.50249607e+00  2.50557570e+00  3.07962143e-03
1.19147900e-02  1.86170300e-04  2.41103654e-04  3.72627919e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28598215e+00  2.28906211e+00  3.07996373e-03  2.50259459e+00  2.50567423e+00  3.07963998e-03
1.20549640e-02  1.86179126e-04  2.41115240e-04  3.72646460e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28608066e+00  2.28916064e+00  3.07998227e-03  2.50269310e+00  2.50577276e+00  3.07965852e-03
1.21951380e-02  1.86187952e-04  2.41126826e-04  3.72665001e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28617917e+00  2.28925917e+00  3.08000081e-03  2.50279161e+00  2.50587128e+00  3.07967706e-03
1.23353120e-02  1.86196778e-04  2.41138412e-04  3.72683543e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28627766e+00  2.28935768e+00  3.08001935e-03  2.50289010e+00  2.50596980e+00  3.07969560e-03
1.24754860e-02  1.86205603e-04  2.41149997e-04  3.72702082e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28637615e+00  2.28945619e+00  3.08003789e-03  2.50298859e+00  2.50606831e+00  3.07971414e-03
1.26156600e-02  1.86214428e-04  2.41161583e-04  3.72720621e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28647464e+00  2.28955469e+00  3.08005643e-03  2.50308708e+00  2.50616681e+00  3.07973268e-03
1.27558340e-02  1.86223253e-04  2.41173168e-04  3.72739160e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28657311e+00  2.28965319e+00  3.08007497e-03  2.50318555e+00  2.50626531e+00  3.07975122e-03
1.28960080e-02  1.86232079e-04  2.41184754e-04  3.72757699e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28667158e+00  2.28975168e+00  3.08009351e-03  2.50328402e+00  2.50636379e+00  3.07976975e-03
1.30361820e-02  1.86240904e-04  2.41196339e-04  3.72776238e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28677005e+00  2.28985016e+00  3.08011205e-03  2.50338249e+00  2.50646228e+00  3.07978829e-03
1.31763560e-02  1.86249729e-04  2.41207924e-04  3.72794776e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28686850e+00  2.28994863e+00  3.08013059e-03  2.50348094e+00  2.50656075e+00  3.07980683e-03
1.33165300e-02  1.86258554e-04  2.41219509e-04  3.72813314e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28696695e+00  2.29004710e+00  3.08014912e-03  2.50357939e+00  2.50665922e+00  3.07982537e-03
1.34567040e-02  1.86267379e-04  2.41231093e-04  3.72831851e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28706539e+00  2.29014556e+00  3.08016766e-03  2.50367784e+00  2.50675768e+00  3.07984391e-03
1.35968780e-02  1.86276204e-04  2.41242679e-04  3.72850389e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28716383e+00  2.29024402e+00  3.08018620e-03  2.50377627e+00  2.50685613e+00  3.07986245e-03
1.37370520e-02  1.86285027e-04  2.41254261e-04  3.72868923e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28726226e+00  2.29034246e+00  3.08020473e-03  2.50387470e+00  2.50695458e+00  3.07988098e-03
1.38772260e-02  1.86293853e-04  2.41265847e-04  3.72887461e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28736068e+00  2.29044090e+00  3.08022327e-03  2.50397312e+00  2.50705302e+00  3.07989952e-03
1.40174000e-02  1.86302677e-04  2.41277431e-04  3.72905996e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28745910e+00  2.29053934e+00  3.08024181e-03  2.50407154e+00  2.50715146e+00  3.07991805e-03
1.41575740e-02  1.86311502e-04  2.41289015e-04  3.72924531e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28755751e+00  2.29063777e+00  3.08026034e-03  2.50416995e+00  2.50724988e+00  3.07993659e-03
1.42977480e-02  1.86320326e-04  2.41300599e-04  3.72943066e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28765591e+00  2.29073619e+00  3.08027888e-03  2.50426835e+00  2.50734830e+00  3.07995512e-03
1.44379220e-02  1.86329150e-04  2.41312181e-04  3.72961599e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28775430e+00  2.29083460e+00  3.08029741e-03  2.50436674e+00  2.50744672e+00  3.07997365e-03
1.45780960e-02  1.86337974e-04  2.41323764e-04  3.72980133e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28785269e+00  2.29093301e+00  3.08031594e-03  2.50446513e+00  2.50754512e+00  3.07999219e-03
1.47182700e-02  1.86346798e-04  2.41335348e-04  3.72998668e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28795107e+00  2.29103141e+00  3.08033448e-03  2.50456351e+00  2.50764352e+00  3.08001072e-03
1.48584440e-02  1.86355622e-04  2.41346931e-04  3.73017201e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28804945e+00  2.29112980e+00  3.08035301e-03  2.50466189e+00  2.50774192e+00  3.08002926e-03
1.49986180e-02  1.86364446e-04  2.41358514e-04  3.73035733e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28814781e+00  2.29122819e+00  3.08037154e-03  2.50476026e+00  2.50784030e+00  3.08004779e-03
1.51387920e-02  1.86373268e-04  2.41370095e-04  3.73054264e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28824617e+00  2.29132656e+00  3.08039007e-03  2.50485862e+00  2.50793868e+00  3.08006632e-03
1.52789660e-02  1.86382092e-04  2.41381678e-04  3.73072796e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28834453e+00  2.29142494e+00  3.08040861e-03  2.50495697e+00  2.50803706e+00  3.08008485e-03
1.54191400e-02  1.86390915e-04  2.41393259e-04  3.73091325e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28844288e+00  2.29152330e+00  3.08042714e-03  2.50505532e+00  2.50813542e+00  3.08010338e-03
1.55593140e-02  1.86399738e-04  2.41404842e-04  3.73109857e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28854122e+00  2.29162166e+00  3.08044567e-03  2.50515366e+00  2.50823378e+00  3.08012191e-03
1.56994880e-02  1.86408561e-04  2.41416424e-04  3.73128387e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28863955e+00  2.29172002e+00  3.08046420e-03  2.50525199e+00  2.50833213e+00  3.08014044e-03
1.58396620e-02  1.86417384e-04  2.41428005e-04  3.73146917e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28873788e+00  2.29181836e+00  3.08048273e-03  2.50535032e+00  2.50843048e+00  3.08015897e-03
1.59798360e-02  1.86426207e-04  2.41439587e-04  3.73165447e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28883620e+00  2.29191670e+00  3.08050126e-03  2.50544864e+00  2.50852882e+00  3.08017750e-03
1.61200100e-02  1.86435029e-04  2.41451167e-04  3.73183974e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28893451e+00  2.29201503e+00  3.08051978e-03  2.50554695e+00  2.50862715e+00  3.08019603e-03
1.62601840e-02  1.86443852e-04  2.41462749e-04  3.73202504e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28903282e+00  2.29211336e+00  3.08053831e-03  2.50564526e+00  2.50872547e+00  3.08021456e-03
1.64003580e-02  1.86452675e-04  2.41474329e-04  3.73221031e-04  2.13904786e-01  2.16612118e-01  2.70733176e-03  2.28913112e+00  2.29221168e+00  3.08055684e-03  2.50574356e+00  2.50882379e+00  3.08023309e-03
