"Vm","activationTime","activeTension","externalStimulusCurrent","ionicCurrent","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.045829,0.0023734,0,0,3.0072e-05,1,0.0022899,0.00214,0.000321,0.006251
0.045829,0.0024003,0,0,3.0046e-05,1,0.0023113,0.00216,0.000324,0.006244
0.045829,0.0024272,0,0,3.0013e-05,1,0.0023327,0.00218,0.000327,0.006237
0.045829,0.0024541,0,0,2.9973e-05,1,0.0023541,0.0022,0.00033,0.00623
0.045829,0.002481,0,0,3.0005e-05,1,0.0023755,0.00222,0.000333,0.006223
0.045829,0.0025079,0,0,3.0031e-05,1,0.0023969,0.00224,0.000336,0.006216
0.045829,0.0025348,0,0,3.0049e-05,1,0.0024183,0.00226,0.000339,0.006209
0.045829,0.0025618,0,0,3.006e-05,1,0.0024397,0.00228,0.000342,0.006202
0.045829,0.0025888,0,0,3.0088e-05,1,0.0024611,0.0023,0.000345,0.006195
0.04583,0.0026159,0,0,3.0111e-05,1,0.0024825,0.00232,0.000348,0.006188
0.04583,0.002643,0,0,3.0128e-05,1,0.0025039,0.00234,0.000351,0.006181
0.04583,0.0026701,0,0,3.0138e-05,1,0.0025253,0.00236,0.000354,0.006174
0.04583,0.0026972,0,0,3.0142e-05,1,0.0025467,0.00238,0.000357,0.006167
0.04583,0.0027244,0,0,3.014e-05,1,0.0025681,0.0024,0.00036,0.00616
0.04583,0.0027515,0,0,3.0167e-05,1,0.0025895,0.00242,0.000363,0.006153
0.04583,0.0027787,0,0,3.0197e-05,1,0.0026109,0.00244,0.000366,0.006146
0.04583,0.0028059,0,0,3.023e-05,1,0.0026323,0.00246,0.000369,0.006139
0.04583,0.0028331,0,0,3.0267e-05,1,0.0026537,0.00248,0.000372,0.006132
0.04583,0.0028603,0,0,3.0307e-05,1,0.0026751,0.0025,0.000375,0.006125
0.04583,0.0028875,0,0,3.0357e-05,1,0.0026965,0.00252,0.000378,0.006118
0.04583,0.0029147,0,0,3.0409e-05,1,0.0027179,0.00254,0.000381,0.006111
0.04583,0.002942,0,0,3.0462e-05,1,0.0027393,0.00256,0.000384,0.006104
0.04583,0.0029694,0,0,3.0519e-05,1,0.0027607,0.00258,0.000387,0.006097
0.045831,0.002997,0,0,3.0576e-05,1,0.0027821,0.0026,0.00039,0.00609
0.045831,0.0030246,0,0,3.0571e-05,1,0.0028035,0.00262,0.000393,0.006083
0.045831,0.0030523,0,0,3.0564e-05,1,0.0028249,0.00264,0.000396,0.006076
0.045831,0.0030799,0,0,3.0553e-05,1,0.0028463,0.00266,0.000399,0.006069
0.045831,0.0031076,0,0,3.054e-05,1,0.0028677,0.00268,0.000402,0.006062
0.045831,0.0031353,0,0,3.0524e-05,1,0.0028891,0.0027,0.000405,0.006055
0.045831,0.003163,0,0,3.0528e-05,1,0.0029105,0.00272,0.000408,0.006048
0.045831,0.0031908,0,0,3.0527e-05,1,0.0029319,0.00274,0.000411,0.006041
0.045831,0.0032185,0,0,3.052e-05,1,0.0029533,0.00276,0.000414,0.006034
0.045831,0.0032463,0,0,3.051e-05,1,0.0029747,0.00278,0.000417,0.006027
0.045831,0.0032741,0,0,3.0494e-05,1,0.0029961,0.0028,0.00042,0.00602
0.045831,0.0033019,0,0,3.0467e-05,1,0.0030175,0.00282,0.000423,0.006013
0.045831,0.0033297,0,0,3.0445e-05,1,0.0030389,0.00284,0.000426,0.006006
0.045831,0.0033576,0,0,3.043e-05,1,0.0030603,0.00286,0.000429,0.005999
0.045832,0.0033861,0,0,3.0434e-05,1,0.0030817,0.00288,0.000432,0.005992
0.045832,0.0034146,0,0,3.044e-05,1,0.0031031,0.0029,0.000435,0.005985
0.045832,0.0034432,0,0,3.0439e-05,1,0.0031245,0.00292,0.000438,0.005978
0.045832,0.0034717,0,0,3.044e-05,1,0.0031459,0.00294,0.000441,0.005971
0.045832,0.0035003,0,0,3.0444e-05,1,0.0031673,0.00296,0.000444,0.005964
0.045832,0.0035288,0,0,3.045e-05,1,0.0031887,0.00298,0.000447,0.005957
0.045832,0.0035574,0,0,3.0458e-05,1,0.0032101,0.003,0.00045,0.00595
0.045832,0.003586,0,0,3.0552e-05,1,0.0032315,0.00302,0.000453,0.005943
0.045832,0.0036147,0,0,3.0651e-05,1,0.0032529,0.00304,0.000456,0.005936
0.045832,0.0036433,0,0,3.0753e-05,1,0.0032743,0.00306,0.000459,0.005929
0.045832,0.0036719,0,0,3.086e-05,1,0.0032957,0.00308,0.000462,0.005922
0.045832,0.0037006,0,0,3.097e-05,1,0.0033171,0.0031,0.000465,0.005915
0.045832,0.0037293,0,0,3.0938e-05,1,0.0033385,0.00312,0.000468,0.005908
0.045832,0.003758,0,0,3.09e-05,1,0.0033599,0.00314,0.000471,0.005901
0.045833,0.0037875,0,0,3.0838e-05,1,0.0033813,0.00316,0.000474,0.005894
0.045833,0.0038172,0,0,3.0774e-05,1,0.0034027,0.00318,0.000477,0.005887
0.045833,0.0038469,0,0,3.0712e-05,1,0.0034241,0.0032,0.00048,0.00588
0.045833,0.0038767,0,0,3.0669e-05,1,0.0034456,0.00322,0.000483,0.005873
0.045833,0.0039064,0,0,3.0639e-05,1,0.003467,0.00324,0.000486,0.005866
0.045833,0.0039361,0,0,3.0622e-05,1,0.0034884,0.00326,0.000489,0.005859
0.045833,0.0039658,0,0,3.0618e-05,1,0.0035098,0.00328,0.000492,0.005852
0.045833,0.0039956,0,0,3.0628e-05,1,0.0035312,0.0033,0.000495,0.005845
0.045833,0.0040253,0,0,3.0698e-05,1,0.0035526,0.00332,0.000498,0.005838
