time V u1 u2 u3 Iion
0.3742000 0.0000000 2.0613000 0.5941614 0.0000000 -0.0000000
0.3742500 0.0000000 2.0613750 0.5941398 0.0000000 -0.0000000
0.3743000 0.0000000 2.0614500 0.5941182 0.0000000 -0.0000000
0.3743500 0.0000000 2.0615250 0.5940965 0.0000000 -0.0000000
0.3744000 0.0000000 2.0616000 0.5940749 0.0000000 -0.0000000
0.3744500 0.0000000 2.0616750 0.5940533 0.0000000 -0.0000000
0.3745000 0.0000000 2.0617500 0.5940317 0.0000000 -0.0000000
0.3745500 0.0000000 2.0618250 0.5940101 0.0000000 -0.0000000
0.3746000 0.0000000 2.0619000 0.5939885 0.0000000 -0.0000000
0.3746500 0.0000000 2.0619750 0.5939669 0.0000000 -0.0000000
0.3747000 0.0000000 2.0620500 0.5939453 0.0000000 -0.0000000
0.3747500 0.0000000 2.0621250 0.5939237 0.0000000 -0.0000000
0.3748000 0.0000000 2.0622000 0.5939021 0.0000000 -0.0000000
0.3748500 0.0000000 2.0622750 0.5938805 0.0000000 -0.0000000
0.3749000 0.0000000 2.0623500 0.5938589 0.0000000 -0.0000000
0.3749500 0.0000000 2.0624250 0.5938373 0.0000000 -0.0000000
0.3750000 0.0000000 2.0625000 0.5938157 0.0000000 -0.0000000
0.3750500 0.0000000 2.0625750 0.5937941 0.0000000 -0.0000000
0.3751000 0.0000000 2.0626500 0.5937725 0.0000000 -0.0000000
0.3751500 0.0000000 2.0627250 0.5937509 0.0000000 -0.0000000
0.3752000 0.0000000 2.0628000 0.5937293 0.0000000 -0.0000000
0.3752500 0.0000000 2.0628750 0.5937077 0.0000000 -0.0000000
0.3753000 0.0000000 2.0629500 0.5936862 0.0000000 -0.0000000
0.3753500 0.0000000 2.0630250 0.5936646 0.0000000 -0.0000000
0.3754000 0.0000000 2.0631000 0.5936430 0.0000000 -0.0000000
0.3754500 0.0000000 2.0631750 0.5936214 0.0000000 -0.0000000
0.3755000 0.0000000 2.0632500 0.5935998 0.0000000 -0.0000000
0.3755500 0.0000000 2.0633250 0.5935783 0.0000000 -0.0000000
0.3756000 0.0000000 2.0634000 0.5935567 0.0000000 -0.0000000
0.3756500 0.0000000 2.0634750 0.5935351 0.0000000 -0.0000000
0.3757000 0.0000000 2.0635500 0.5935135 0.0000000 -0.0000000
0.3757500 0.0000000 2.0636250 0.5934920 0.0000000 -0.0000000
0.3758000 0.0000000 2.0637000 0.5934704 0.0000000 -0.0000000
0.3758500 0.0000000 2.0637750 0.5934488 0.0000000 -0.0000000
0.3759000 0.0000000 2.0638500 0.5934273 0.0000000 -0.0000000
0.3759500 0.0000000 2.0639250 0.5934057 0.0000000 -0.0000000
0.3760000 0.0000000 2.0640000 0.5933841 0.0000000 -0.0000000
0.3760500 0.0000000 2.0640750 0.5933626 0.0000000 -0.0000000
0.3761000 0.0000000 2.0641500 0.5933410 0.0000000 -0.0000000
0.3761500 0.0000000 2.0642250 0.5933195 0.0000000 -0.0000000
0.3762000 0.0000000 2.0643000 0.5932979 0.0000000 -0.0000000
0.3762500 0.0000000 2.0643750 0.5932764 0.0000000 -0.0000000
0.3763000 0.0000000 2.0644500 0.5932548 0.0000000 -0.0000000
0.3763500 0.0000000 2.0645250 0.5932332 0.0000000 -0.0000000
0.3764000 0.0000000 2.0646000 0.5932117 0.0000000 -0.0000000
0.3764500 0.0000000 2.0646750 0.5931901 0.0000000 -0.0000000
0.3765000 0.0000000 2.0647500 0.5931686 0.0000000 -0.0000000
0.3765500 0.0000000 2.0648250 0.5931471 0.0000000 -0.0000000
0.3766000 0.0000000 2.0649000 0.5931255 0.0000000 -0.0000000
0.3766500 0.0000000 2.0649750 0.5931040 0.0000000 -0.0000000
0.3767000 0.0000000 2.0650500 0.5930824 0.0000000 -0.0000000
0.3767500 0.0000000 2.0651250 0.5930609 0.0000000 -0.0000000
0.3768000 0.0000000 2.0652000 0.5930394 0.0000000 -0.0000000
0.3768500 0.0000000 2.0652750 0.5930178 0.0000000 -0.0000000
0.3769000 0.0000000 2.0653500 0.5929963 0.0000000 -0.0000000
0.3769500 0.0000000 2.0654250 0.5929747 0.0000000 -0.0000000
0.3770000 0.0000000 2.0655000 0.5929532 0.0000000 -0.0000000
0.3770500 0.0000000 2.0655750 0.5929317 0.0000000 -0.0000000
0.3771000 0.0000000 2.0656500 0.5929102 0.0000000 -0.0000000
0.3771500 0.0000000 2.0657250 0.5928886 0.0000000 -0.0000000
0.3772000 0.0000000 2.0658000 0.5928671 0.0000000 -0.0000000
0.3772500 0.0000000 2.0658750 0.5928456 0.0000000 -0.0000000
0.3773000 0.0000000 2.0659500 0.5928241 0.0000000 -0.0000000
0.3773500 0.0000000 2.0660250 0.5928025 0.0000000 -0.0000000
0.3774000 0.0000000 2.0661000 0.5927810 0.0000000 -0.0000000
0.3774500 0.0000000 2.0661750 0.5927595 0.0000000 -0.0000000
0.3775000 0.0000000 2.0662500 0.5927380 0.0000000 -0.0000000
0.3775500 0.0000000 2.0663250 0.5927165 0.0000000 -0.0000000
0.3776000 0.0000000 2.0664000 0.5926950 0.0000000 -0.0000000
0.3776500 0.0000000 2.0664750 0.5926735 0.0000000 -0.0000000
0.3777000 0.0000000 2.0665500 0.5926519 0.0000000 -0.0000000
0.3777500 0.0000000 2.0666250 0.5926304 0.0000000 -0.0000000
0.3778000 0.0000000 2.0667000 0.5926089 0.0000000 -0.0000000
0.3778500 0.0000000 2.0667750 0.5925874 0.0000000 -0.0000000
0.3779000 0.0000000 2.0668500 0.5925659 0.0000000 -0.0000000
0.3779500 0.0000000 2.0669250 0.5925444 0.0000000 -0.0000000
0.3780000 0.0000000 2.0670000 0.5925229 0.0000000 -0.0000000
0.3780500 0.0000000 2.0670750 0.5925014 0.0000000 -0.0000000
0.3781000 0.0000000 2.0671500 0.5924799 0.0000000 -0.0000000
0.3781500 0.0000000 2.0672250 0.5924584 0.0000000 -0.0000000
0.3782000 0.0000000 2.0673000 0.5924369 0.0000000 -0.0000000
0.3782500 0.0000000 2.0673750 0.5924154 0.0000000 -0.0000000
0.3783000 0.0000000 2.0674500 0.5923939 0.0000000 -0.0000000
0.3783500 0.0000000 2.0675250 0.5923725 0.0000000 -0.0000000
0.3784000 0.0000000 2.0676000 0.5923510 0.0000000 -0.0000000
0.3784500 0.0000000 2.0676750 0.5923295 0.0000000 -0.0000000
0.3785000 0.0000000 2.0677500 0.5923080 0.0000000 -0.0000000
0.3785500 0.0000000 2.0678250 0.5922865 0.0000000 -0.0000000
0.3786000 0.0000000 2.0679000 0.5922650 0.0000000 -0.0000000
0.3786500 0.0000000 2.0679750 0.5922436 0.0000000 -0.0000000
0.3787000 0.0000000 2.0680500 0.5922221 0.0000000 -0.0000000
0.3787500 0.0000000 2.0681250 0.5922006 0.0000000 -0.0000000
0.3788000 0.0000000 2.0682000 0.5921791 0.0000000 -0.0000000
0.3788500 0.0000000 2.0682750 0.5921577 0.0000000 -0.0000000
0.3789000 0.0000000 2.0683500 0.5921362 0.0000000 -0.0000000
0.3789500 0.0000000 2.0684250 0.5921147 0.0000000 -0.0000000
0.3790000 0.0000000 2.0685000 0.5920932 0.0000000 -0.0000000
0.3790500 0.0000000 2.0685750 0.5920718 0.0000000 -0.0000000
0.3791000 0.0000000 2.0686500 0.5920503 0.0000000 -0.0000000
0.3791500 0.0000000 2.0687250 0.5920288 0.0000000 -0.0000000
0.3792000 0.0000000 2.0688000 0.5920074 0.0000000 -0.0000000
0.3792500 0.0000000 2.0688750 0.5919859 0.0000000 -0.0000000
0.3793000 0.0000000 2.0689500 0.5919645 0.0000000 -0.0000000
